목적,읍면동,설치장소,위도,경도,설치연도,설치대수
방범,대곡면,대곡면 광석리 651-2,35.258205,128.183327,2017,3
도로방범,대곡면,대곡면 단목리 897-2(단목리 1694-14),35.289946,128.165188,2019,3
도로방범,대곡면,대곡면 마진리 538-1,35.25357,128.14881,2021,3
방범,대곡면,대곡면 덕곡리 483-20,35.21802,128.214989,2021,2
방범,상평동,상평동 240-6,35.227339,128.194804,2021,1
감응신호,대곡면,대곡면 유곡리산 24-9,35.169998,128.110225,2015,1
방범,상평동,상평동 240-8,35.261083,128.157464,2022,1
도로방범,대곡면,대곡면 유곡리 265,35.169618,128.110227,2015,4
방범,대곡면,대곡면 덕곡리 356-2 ,35.264062,128.155777,2022,2
방범,대평면,대평면 대평리 509,35.234544,128.196888,2023,4
방범,대평면,대평면 대평리 510,35.233924,127.95965,2022,1
방범,대평면,대평면 당촌리 1317-1,35.233185,127.960295,2022,2
방범,대평면,대평면 대평리 537-5,35.1881,127.96747,2018,2
방범,대평면,대평면 대평리 297,35.231432,127.968733,2021,3
도로방범,대평면,대평면 대평리 603-1,35.230014,127.962497,2022,3
방범,대평면,대평면 내촌리 743-2 ,35.160813,127.988881,2023,3
어린이보호구역,명석면,명석면 관지리 668-2,35.253689,128.040612,2022,5
어린이보호구역,명석면,명석면 우수리 109,35.217836,128.040791,2022,3
방범,명석면,명석면 우수리 721-1,35.215906,128.040954,2019,3
도로방범,명석면,명석면 오미리 산 234-2,35.24052,127.98629,2021,2
도로방범,명석면,명석면 계원리 291-7,35.26741,128.04419,2021,2
도로방범,명석면,명석면 계원리 291-7,35.26741,128.04419,2021,1
어린이보호구역,초장동,장재동 582,35.217003,128.102602,2022,1
방범,명석면,명석면 우수리 705-1,35.216726,128.031017,2021,3
방범,명석면,명석면 왕지리 208,35.23863,128.052573,2022,4
방범,명석면,명석면 남성리 553-4 ,35.267764,128.050181,2023,2
방범,초장동,장재동 387-19 ,35.209809,128.101809,2018,2
어린이보호구역,문산읍,문산읍 소문리 114-13,35.170544,128.168946,2022,4
어린이보호구역,문산읍,문산읍 소문리 114-13,35.1712574,128.1689434,2022,4
어린이보호구역,문산읍,문산읍 소문리 225,35.171181,128.161557,2022,3
어린이보호구역,문산읍,문산읍 소문리 225,35.170672,128.163156,2022,4
어린이보호구역,문산읍,문산읍 소문리 225,35.170541,128.163655,2022,3
어린이보호구역,문산읍,문산읍 삼곡리 706,35.164735,128.164891,2022,1
어린이보호구역,문산읍,문산읍 삼곡리 706,35.164544,128.167527,2022,3
어린이보호구역,문산읍,문산읍 삼곡리 706,35.164333,128.167236,2022,4
도로방범,문산읍,문산읍 삼곡리 1182-56,35.167356,128.162856,2015,1
도로방범,문산읍,문산읍 옥산리 769-1(옥산리825),35.16023,128.150895,2019,4
도로방범,문산읍,문산읍 삼곡리 980-2,35.158795,128.16398,2019,4
방범,평거동,평거동 960 ,35.168808,128.061353,2018,3
방범,문산읍,문산읍 소문리 124,35.170184,128.167052,2019,4
방범,문산읍,문산읍 삼곡리 1664-3,35.160203,128.171567,2019,3
방범,문산읍,문산읍 삼곡리 1104-2,35.160159,128.164394,2019,1
도로방범,문산읍,문산읍 상문리 208-3,35.16711,128.19487,2021,2
공원,문산읍,삼곡리640-7,35.167548,128.166276,2022,2
방범,문산읍,문산읍 갈곡리 656-38,35.145869,128.211425,2021,3
방범,신안동,신안동 28-3,35.183188,128.072345,2018,2
도로방범,문산읍,문산읍 소문리 153-34,35.17068,128.165091,2022,5
방범,문산읍,문산읍 소문리 114-8 ,35.17051,128.168178,2023,2
방범,문산읍,문산읍 소문리 153-86 ,35.171241,128.164536,2023,2
방범,문산읍,문산읍 삼곡리 585-4 ,35.170186,128.169649,2023,3
방범,문산읍,문산읍 안전리 805-4 ,35.136429,128.190723,2023,3
방범,문산읍,문산읍 옥산리 1236-4 ,35.157596,128.136505,2023,3
어린이보호구역,미천면,미천면 안간리 797-5,35.318039,128.088786,2022,3
어린이보호구역,미천면,미천면 안간리 797-5,35.318344,128.089817,2022,2
방범,미천면,미천면 오방로725,35.299135,128.116178,2019,3
방범,미천면,미천면 반지리 288-2,35.271875,128.11458,2019,2
도로방범,미천면,미천면 향양리 585-9,35.28983,128.10571,2021,2
도로방범,미천면,미천면 어옥리 188-3,35.29726,128.14766,2021,2
방범,미천면,안간리 1297,35.305615,128.078849,2021,2
방범,미천면,미천면 벌당리 73-4 ,35.283446,128.122521,2023,2
방범,미천면,미천면 어옥리 676-2,35.302487,128.135197,2023,2
방범,사봉면,사봉면 봉곡리 627-38,35.196625,128.291509,2016,2
방범,사봉면,사봉면 마성리 459 ,35.218456,128.236834,2019,3
방범,이현동,이현동 12-1,35.191937,128.060809,2018,4
어린이보호구역,사봉면,사봉면 사곡리 993-1,35.187693,128.269577,2022,4
어린이보호구역,사봉면,사봉면 사곡리 1003,35.1871637,128.2681006,2022,1
방범,사봉면,사봉면 사곡리 1176-2,35.239554,128.085596,2019,3
방범,이현동,이현동 241-8,35.186354,128.06085,2016,2
방범,사봉면,사봉면 부계리 854-1,35.212227,128.310063,2021,2
방범,사봉면,사봉면 부계리 619-4,35.189027,128.312154,2022,3
방범,사봉면,사봉면 마성리 1074-12 ,35.204212,128.236327,2023,3
방범,사봉면,사봉면 방촌리 552-3 ,35.198207,128.252839,2023,2
방범,사봉면,사봉면 무촌리 278-1 ,35.178028,128.270546,2023,2
방범,상대동,상대동 200-28,35.184925,128.114404,2018,4
방범,상대동,상대동 274-8 ,35.180929,128.109496,2022,5
방범,상대동,상대동 239-8,35.183587,128.113293,2017,4
방범,상대동,상대동 272-23,35.182609,128.110654,2018,4
방범,판문동,판문동 269-48,35.167595,128.047067,2018,3
방범,상대동,상대동 248-37,35.181902,128.111879,2016,4
방범,상대동,상대동 515-7,35.18679,128.110237,2016,2
방범,판문동,판문동 146-1,35.175522,128.04038,2017,2
방범,상대동,상대동 303-45 ,35.1800391,128.1148607,2023,2
방범,상대동,상대동 308-57 ,35.180941,128.114813,2022,1
방범,상대동,상대동  301-83,35.177577,128.115012,2017,4
공원,가호동,가좌동 산 88-7,35.166314,128.104843,2022,1
방범,상대동,상대동 302-27,35.179438,128.113701,2021,3
방범,상대동,상대동 305-24,35.181856,128.114727,2022,5
방범,상대동,상대동 204-1,35.184867,128.116802,2021,2
방범,상대동,상대동 196-13,35.185777,128.115772,2023,4
방범,상대동,상대동 329-6,35.184229,128.118534,2016,2
어린이보호구역,가호동,가호동 662-2 ,35.163179,128.111243,2022,2
방범,상대동,상대동 33-18 ,35.182551,128.125183,2017,2
방범,상대동,상대동 286-29,35.18097,128.105905,2017,2
방범,상대동,상대동 306-38,35.183228,128.115838,2017,2
방범,상대동,상대동 293-7 ,35.180725,128.102845,2018,3
방범,상대동,상대동 311-14 ,35.178793,128.114938,2018,2
방범,상대동,상대동 296-77 ,35.17847,128.10337,2019,2
방범,상대동,상대동 300-48 ,35.178745,128.111952,2018,3
방범,상대동,상대동 275-3 ,35.18114,128.110509,2019,3
방범,상대동,상대동 311-51,35.177875,128.116662,2019,2
방범,가호동,호탄동 627-1,35.163408,128.116967,2017,1
교통관리,상대동,상대동 296-84,35.179238,128.102082,2012,3
어린이보호구역,상대동,상대동 645-9,35.182703,128.109236,2020,2
어린이보호구역,상대동,상대동 645-9,35.182555,128.107595,2020,2
어린이보호구역,상대동,상대동 645-9,35.183756,128.110161,2020,3
어린이보호구역,상대동,상대동 645-9,35.184407,128.109164,2020,2
어린이보호구역,상대동,상대동 33-106,35.181197,128.120041,2022,4
도로방범,상대동,상대동 312-13,35.178693,128.11768,2015,3
도로방범,상대동,상대동 325 ,35.184171,128.112032,2017,2
방범,상대동,상대동 298-1 ,35.179678,128.110166,2017,1
도로방범,상대동,상대동 328-14 ,35.182101,128.117523,2019,4
도로방범,상대동,상대동 734-14,35.18153,128.101664,2019,2
방범,상대동,상대동 734-22,35.181315,128.101298,2019,2
방범,상대동,상대동 282-14,35.181756,128.10775,2019,2
방범,상대동,상대동 191,35.187409,128.119204,2019,2
방범,상대동,상대동 244-22,35.182698,128.112814,2019,2
방범,상대동,상대동 291-4,35.180126,128.104386,2019,2
방범,상대동,상대동 284,35.179792,128.109016,2020,2
방범,상대동,상대동 511-3,35.18842,128.11431,2020,2
산단관리,상대동,상대동33-121,35.184106,128.125256,2020,1
산단관리,상대동,상대동 33-172,35.184106,128.125256,2020,3
산단관리,상대동,상대동 33-12,35.184236,128.12784,2020,2
방범,상대동,상대동 402-4,35.185283,128.112534,2021,3
스마트정류장,상대동,상대동 332-19,35.179645,128.108564,2022,2
스마트정류장,상대동,상대동 334-1,35.179751,128.112204,2022,2
방범,상대동,상대동284,35.17973,128.10948,2022,2
공원,상대동,상대1동 848,35.190737,128.09912,2022,2
방범,정촌면,정촌면 예하리 756-2,35.121327,128.094702,2014,2
방범,상대동,상대동 615-14,35.183637,128.107799,2022,3
방범,상대동,상대동 532 ,35.185525,128.110542,2023,2
방범,금곡면,금곡면 두문리 806-1,35.082441,128.186798,2019,2
방범,상대동,상대동 296-28,35.178682,128.10373,2023,2
방범,상대동,상대동 301-25,35.178094,128.113176,2023,4
방범,상봉동,상봉동 1432-6 ,35.19943,128.068273,2016,3
방범,상봉동,상봉동 744-16 ,35.200992,128.067621,2022,4
방범,사봉면,사봉면 봉곡리 1004-3 ,35.199302,128.27805,2017,2
방범,사봉면,사봉면 사곡리 1169-2 ,35.186888,128.262202,2019,2
방범,상봉동,상봉동 1016-9,35.198747,128.076989,2017,4
방범,상봉동,상봉동 1010-2,35.198508,128.076231,2019,3
방범,상봉동,상봉동 745-3,35.200518,128.067166,2023,2
방범,상봉동,상봉동 832-4,35.199878,128.067792,2023,2
방범,상봉동,상봉동 1104-6,35.1967,128.068469,2016,3
방범,금산면,금산면 중천리 413-5 ,35.214156,128.142594,2018,2
방범,상봉동,상봉동 857-17,35.198198,128.078102,2016,4
방범,상봉동,상봉동 1022-6,35.201262,128.074015,2017,2
방범,상봉동,상봉동 848-9 ,35.198154,128.074103,2017,4
방범,상봉동,상봉동 812-28 ,35.198089,128.078306,2017,2
방범,미천면,미천면 안간리 산 189-1,35.309938,128.088907,2016,2
방범,명석면,명석면 용산리 21-10,35.219983,128.030578,2016,2
방범,명석면,명석면 계원리 62-5,35.278622,128.03578,2017,2
방범,명석면,명석면 오미리 379-4,35.256068,127.995194,2019,3
방범,상봉동,상봉동 1066-9 ,35.196784,128.072839,2017,2
방범,상봉동,상봉동 1422-11 ,35.201386,128.074694,2017,2
방범,상봉동,상봉동 925-2 ,35.199444,128.079614,2018,2
방범,상봉동,상봉동 1102-37 ,35.195795,128.069443,2018,2
방범,상봉동,상봉동 1065-10 ,35.197703,128.073608,2018,4
공원,중앙동,옥봉동 860,35.191483,128.100455,2022,3
방범,상봉동,상봉동 588-3 ,35.205266,128.074402,2019,3
방범,상봉동,상봉동 1451-14,35.201969,128.072423,2019,2
방범,상봉동,상봉동 1038-1,35.19836,128.07522,2019,2
방범,상봉동,상봉동 1451-1,35.202622,128.072858,2019,2
방범,상봉동,상봉동 806-48,35.198288,128.069067,2019,2
방범,상봉동,상봉동 1053-1,35.196857,128.075645,2019,3
공원,상봉동,상봉동 1452 ,35.202056,128.073921,2022,4
공원,상봉동,상봉동  831-1 ,35.202056,128.073921,2019,1
어린이보호구역,상봉동,상봉동 756-22,35.199893,128.069122,2021,1
공원,상평동,상평동 221-8,35.175855,128.108252,2022,1
어린이보호구역,상봉동,진주시 상봉동 815-1,35.199832,128.070604,2021,3
공원,상평동,상평동 221-8,35.175612,128.104586,2022,2
어린이보호구역,상봉동,진주시 상봉동 786-1,35.200076,128.071464,2021,2
어린이보호구역,상봉동,진주시 상봉동 812-17,35.199451,128.071709,2021,2
어린이보호구역,상봉동,상봉동 1075-2,35.19744,128.071258,2022,5
도로방범,상봉동,상봉동 839-2,35.199836,128.07691,2015,1
공원,초장동,초전동 1634-3,35.206903,128.115084,2022,2
방범,상봉동,상봉동 896-6,35.200123,128.078589,2019,2
방범,상봉동,상봉동 813-20,35.20015,128.07305,2019,4
방범,상봉동,상봉동 1093-34,35.196664,128.070258,2019,4
스마트폴,상봉동,상봉동 1452,35.20173,128.07369,2022,2
도로방범,상봉동,상봉동 741-1 ,35.202559,128.067815,2022,4
방범,상봉동,상봉동 1031-1,35.199163,128.074457,2022,6
방범,상봉동,상봉동 916-7,35.198975,128.080392,2022,3
방범,상봉동,상봉동 1451-34,35.201978,128.073451,2022,2
방범,상봉동,상봉동 987-4 ,35.199162,128.082047,2023,2
교통관리,상봉동,상봉동 1019-21,35.199472,128.075427,2023,4
방범,상봉동,상봉동 833-2 ,35.19868,128.067231,2023,3
방범,상평동,상평동 269-114,35.17629,128.104533,2017,4
방범,상평동,상평동 206-9,35.169933,128.112741,2018,4
방범,상평동,상평동 221-33 ,35.176388,128.109727,2021,2
방범,상평동,상평동 240-7,35.169812,128.1105,2023,2
방범,상평동,상평동 207-10,35.17061,128.113968,2016,2
방범,상평동,상평동 202-7,35.173396,128.113006,2016,4
공원,신안동,신안동 710-3,35.177036,128.067824,2022,2
방범,상평동,상평동 256-2,35.16849,128.114939,2016,1
방범,상평동,상평동 266-23,35.173281,128.107261,2016,2
방범,상평동,상평동 206-10,35.16996,128.11362,2016,2
방범,상평동,상평동 197-43,35.176683,128.115138,2017,2
방범,상평동,상평동 55,35.177967,128.120262,2017,2
방범,상평동,상평동 234-3 ,35.17094,128.107427,2017,2
방범,상평동,상평동 218-5,35.178585,128.110402,2018,2
방범,상평동,상평동 167-4 ,35.169946,128.116849,2018,2
방범,상평동,상평동 220-16 ,35.177403,128.108285,2019,2
공원,상평동,상평동 221-8,35.17594,128.108356,2022,4
방범,가호동,가좌동 453-6,35.156577,128.108331,2017,2
공원,상평동,상평동 221-8,35.175502,128.105215,2022,4
공원,상평동,상평동 313-1,35.173072,128.124387,2022,3
어린이보호구역,상평동,상평동 278-1,35.175038,128.102107,2021,2
어린이보호구역,상평동,상평동 278-1,35.174051,128.102065,2021,3
방범,가호동,가좌동 1267-2,35.160557,128.095994,2015,2
어린이보호구역,상평동,상평동 278-1,35.173763,128.100537,2021,2
어린이보호구역,상평동,상평동 278-1,35.172787,128.101407,2021,2
어린이보호구역,상평동,상평동 278-1,35.174881,128.100082,2021,1
도로방범,상평동,상평동 218-1,35.177611,128.111218,2015,1
도로방범,상평동,상평동 270-37 ,35.177999,128.107009,2017,2
방범,가호동,가좌동 1429-1,35.163289,128.104922,2016,2
도로방범,상평동,상평동 198-43 ,35.176612,128.112502,2018,2
도로방범,상평동,상평동 156-4 ,35.17386,128.117747,2019,4
도로방범,상평동,상평동 195-1 ,35.175744,128.117071,2019,2
도로방범,상평동,상평동 55-41,35.174712,128.128501,2020,2
방범,상평동,상평동 160-2,35.170248,128.121028,2019,4
방범,상평동,상평동 279-15,35.174127,128.104664,2019,4
방범,상평동,상평동 309-1,35.171745,128.123278,2019,2
방범,상평동,상평동 55-48,35.174411,128.125736,2019,3
방범,상평동,상평동 159-3,35.170132,128.119286,2019,4
산단관리,상평동,상대동 33-18,35.182796,128.125179,2019,5
산단관리,상평동,상대동 33-90,35.182621,128.128131,2019,4
산단관리,상평동,상대동 33-180,35.178315,128.128402,2019,5
산단관리,상평동,상대동 33-180,35.178436,128.125489,2019,4
산단관리,상평동,상평동 55-14,35.177047,128.120307,2019,5
산단관리,상평동,상대동 33-125,35.179051,128.120348,2019,4
산단관리,상평동,상평동 234-16,35.171885,128.105174,2019,4
산단관리,상평동,상평동 235-2,35.171692,128.107476,2019,5
산단관리,상평동,상평동 224-2,35.17188,128.110096,2019,4
산단관리,상평동,상평동 203-24,35.172058,128.112719,2019,4
산단관리,상평동,상평동 202-13,35.17234,128.115397,2019,4
산단관리,상평동,상평동 194-13,35.174314,128.115214,2019,5
공원,충무공동,충무공동 224,35.17857,128.142151,2022,3
산단관리,상평동,상평동 215-22,35.174349,128.112267,2019,4
산단관리,상평동,상평동 223-2,35.174216,128.109555,2019,5
산단관리,상평동,상평동 267-9,35.174258,128.107294,2019,2
산단관리,상평동,상평동 155-21,35.174656,128.118368,2019,2
산단관리,상평동,상평동 155-4,35.174858,128.12043,2019,3
산단관리,상평동,상평동 157-4,35.172503,128.120274,2019,3
산단관리,상평동,상평동 158-13,35.172425,128.118181,2019,1
