"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","주차현황 정보 제공여부","주차현황 정보 제공여부명","총 주차면","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금","위도","경도"
"1053712","볏골공원 지하공영주차장(구)","강서구 화곡동 98-99","NW","노외 주차장","1","시간제 주차장","02-2065-1575","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","231","Y","유료","N","야간 미개방","0000","0000","0000","0000","0000","0000","2023-07-19 18:07:11","Y","유료","Y","유료","60000","","1200","60","100","5","0","0","0","0","","",""
"1056832","한누리(구)","동작구 사당동 1046-1","NW","노외 주차장","1","시간제 주차장","","0","미연계중","45","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:04","N","무료","N","무료","100000","","150","5","150","5","0","0","0","0","35000","37.47743578","126.97707837"
"1056834","동작주차공원(구)","동작구 동작동 326-0","NW","노외 주차장","1","시간제 주차장","","0","미연계중","147","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:31:05","N","무료","N","무료","70000","","100","5","100","5","0","0","0","0","","",""
"1059009","신사동 제1공영주차장(구)","관악구 신림동 511-1","NW","노외 주차장","3","시간제 + 거주자 주차장","02-2081-2675","0","미연계중","41","Y","유료","N","야간 미개방","0900","1900","0900","1600","0000","0000","2019-06-10 09:33:25","N","무료","N","무료","0","","50","5","50","5","0","0","0","0","0","",""
"1079122","길음역환승주차장(구)","성북구 하월곡동 104-112","NW","노외 주차장","1","시간제 주차장","02-6923-0023","0","미연계중","147","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:37:28","N","무료","N","무료","120000","","150","5","150","5","0","0","0","0","10000","",""
"1140909","잠원동방음언덕형공영주차장(구)","서초구 잠원동 10-33","NW","노외 주차장","3","시간제 + 거주자 주차장","02-511-3015","0","미연계중","60","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2024-01-26 14:40:39","N","무료","N","무료","120000","","300","10","300","10","0","0","0","0","0","",""
"1140910","반포2동 공영주차장(구)","서초구 반포동 5-1","NW","노외 주차장","1","시간제 주차장","02-534-2772","0","미연계중","134","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2019-06-10 09:32:55","N","무료","N","무료","120000","","300","10","300","10","0","0","0","0","0","",""
"1140911","반포서래공영주차장[서래마을 3호점](구)","서초구 반포동 95-13","NW","노외 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","7","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2023-06-26 11:09:53","N","무료","N","무료","120000","","150","5","150","5","0","0","0","0","0","",""
"1140956","청계산 청룡주차장(구)","서초구 신원동 224-3","NW","노외 주차장","1","시간제 주차장","","0","미연계중","41","Y","유료","N","야간 미개방","0000","0000","0500","1900","0500","1900","2019-06-10 09:35:59","N","무료","N","무료","0","","200","10","200","10","0","0","0","0","3000","",""
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48719836","126.93242431"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48839206","126.93069135"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48858099","126.92932424"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48750347","126.93269465"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48794759","126.93074705"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.4890235","126.92930793"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48704645","126.93275869"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48962361","126.92608617"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48848513","126.93049361"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48877237","126.92985014"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48953571","126.92657092"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.4873458","126.93305111"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48748023","126.93274564"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48879434","126.92980078"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48745265","126.93184686"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48717617","126.9324736"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48958799","126.92630461"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48802277","126.93149005"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.4884149","126.93064183"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48875039","126.9298996"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48756582","126.93159339"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48702428","126.93280786"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48961411","126.92614751"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48752181","126.93169203"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48893304","126.92950996"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48900089","126.92935881"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48891161","126.92955784"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48968909","126.92563338"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48739059","126.93294915"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48773442","126.9312163"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.4884613","126.93054304"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48792604","126.93079671"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48741271","126.93289825"
"1163833","봉천복개3 공영주차장(시)","관악구 봉천동 1467-3","NS","노상 주차장","1","시간제 주차장","","1","현재~20분이내 연계데이터 존재(현재 주차대수 표현)","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2024-01-18 18:40:36","N","무료","Y","유료","","1162010100002","220","5","220","5","0","0","0","0","","37.48904612","126.92925705"
